location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Felton Cal-Fire,pm25,µg/m³,US,Santa Cruz-Watsonville,00:00.0,37.0481,-122.074603,6.285714286
Firearms Training,pm25,µg/m³,US,Louisville,00:00.0,38.23158,-85.82675,25.5
Flemington,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,00:00.0,40.515251,-74.806755,10.9
Florence,pm25,µg/m³,US,Pittsburgh,00:00.0,40.4447,-80.42,18.84285714
Floyd Dryden,pm25,µg/m³,US,JUNEAU,00:00.0,58.388889,-134.565556,1.818181818
Fond du Lac,pm25,µg/m³,US,CARLTON,00:00.0,46.713694,-92.511722,3.7
Forest Park,pm25,µg/m³,US,St. Louis,00:00.0,38.631057,-90.281144,22.00769231
Fort Lee Near Road,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,00:00.0,40.85355,-73.9661,6.608333333
Freemansburg,pm25,µg/m³,US,Allentown-Bethlehem-Easton,00:00.0,40.6281,-75.3411,8.564285714
French Settlement,pm25,µg/m³,US,Baton Rouge,00:00.0,30.315,-90.8114,9.55
French Town - Beckwi,pm25,µg/m³,US,MISSOULA,00:00.0,47.012907,-114.224273,11.33846154
Fresh Kills,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,00:00.0,40.5802,-74.1994,4.591666667
Fresno - Garland,pm25,µg/m³,US,FRESNO,00:00.0,36.78538,-119.77321,22.27857143
Ft. Collins - CSU Fa,pm25,µg/m³,US,LARIMER,00:00.0,40.571259,-105.079765,7.014285714
G.T.Craig,pm25,µg/m³,US,Cleveland-Elyria-Mentor,00:00.0,41.492191,-81.678552,6.55
GANDY,pm25,µg/m³,US,Tampa-St. Petersburg-Clearwater,00:00.0,27.8928,-82.5383,2.042857143
GARINGER,pm25,µg/m³,US,Charlotte-Gastonia-Concord,00:00.0,35.2411,-80.7831,6.428571429
GC_MAD,pm25,µg/m³,US,St. Louis,00:00.0,38.7045,-90.1397,22.61538462
GPORT YC,pm25,µg/m³,US,Gulfport-Biloxi,00:00.0,30.39,-89.0497,12.04285714
GRAND RAPIDS,pm25,µg/m³,US,Grand Rapids-Wyoming,00:00.0,42.984699,-85.671097,5.084615385
GREEN BAY E HIGH,pm25,µg/m³,US,Green Bay,00:00.0,44.5167,-87.9939,4.228571429
Gainesville,pm25,µg/m³,US,Gainesville,00:00.0,34.3003,-83.8139,11.02857143
Garden,pm25,µg/m³,US,Anchorage,00:00.0,61.205861,-149.8246,5.769230769
Garden City,pm25,µg/m³,US,ADA,00:00.0,43.647888,-116.269409,26.21428571
Garden Valley,pm25,µg/m³,US,BOISE,00:00.0,44.104498,-115.972386,9.285714286
Geronimo,pm25,µg/m³,US,Tucson,00:00.0,32.25,-110.9667,10.64285714
Gilory - 9th Street,pm25,µg/m³,US,San Jose-Sunnyvale-Santa Clara,00:00.0,36.999571,-121.574684,7.454545455
