location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Children's Park Site,o3,ppm,US,Tucson,00:00.0,32.2953,-110.9822,0.0096
Chiricahua NM,o3,ppm,US,Sierra Vista-Douglas,00:00.0,32.009201,-109.389198,0.035285714
Choctaw,o3,ppm,US,Oklahoma City,00:00.0,35.4778,-97.3022,0.036
Chula Vista,o3,ppm,US,San Diego-Carlsbad-San Marcos,00:00.0,32.631229,-117.059074,0.021166667
Cisco Drive,o3,ppm,US,Jacksonville,00:00.0,30.378167,-81.84079,0.021
Cleburne Airport C77,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,32.353593,-97.436748,0.015846154
Clinton C403,o3,ppm,US,Houston-Sugar Land-Baytown,00:00.0,29.7339,-95.2575,0.004928571
Clovis - N. Villa Av,o3,ppm,US,Fresno,00:00.0,36.819199,-119.7164,0.005583333
Coachline,o3,ppm,US,Tucson,00:00.0,32.3806,-111.1272,0.015533333
Coastal Carolina,o3,ppm,US,Myrtle Beach-Conway-North Myrtle Beach,00:00.0,33.8005,-78.9941,0.0271
Coffeeville,o3,ppm,US,YALOBUSHA,00:00.0,34.0026,-89.799,0.022153846
Colfax,o3,ppm,US,Sacramento--Arden-Arcade--Roseville,00:00.0,39.1003,-120.9528,0.01925
Colorado Springs - U,o3,ppm,US,Colorado Springs,00:00.0,38.9583,-104.8167,0.027785714
Columbia,o3,ppm,US,WARREN,00:00.0,40.924606,-75.067825,0.02825
Colusa - Sunrise Blv,o3,ppm,US,COLUSA,00:00.0,39.18919,-121.99887,0.014076923
Compton,o3,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.9014,-118.205,0.003133333
Concord,o3,ppm,US,San Francisco-Oakland-Fremont,00:00.0,37.9383,-122.025,0.00475
Connecticut Hill,o3,ppm,US,Ithaca,00:00.0,42.4006,-76.6538,0.034230769
Conroe Relocated C78,o3,ppm,US,Houston-Sugar Land-Baytown,00:00.0,30.3503,-95.425,0.011
Convent,o3,ppm,US,ST. JAMES,00:00.0,29.995,-90.8172,0.0128
Converse County Long,o3,ppm,US,CONVERSE,00:00.0,43.1,-105.5,0.032875
Copper View,o3,ppm,US,Salt Lake City,00:00.0,40.598056,-111.894167,0.001642857
Cornwall,o3,ppm,US,Torrington,00:00.0,41.833099,-73.303299,0.037357143
Corpus Christi Tulos,o3,ppm,US,Corpus Christi,00:00.0,27.8333,-97.5558,0.013785714
Corpus Christi West,o3,ppm,US,Corpus Christi,00:00.0,27.765335,-97.434247,0.007785714
Corsicana C1051,o3,ppm,US,Corsicana,00:00.0,32.0319,-96.3992,0.019571429
Cortez Ozone,o3,ppm,US,MONTEZUMA,00:00.0,37.34997,-108.58737,0.021
County Sheriff Impou,o3,ppm,US,Ocala,00:00.0,29.1928,-82.1733,0.015222222
Cove Mountain - GSMN,o3,ppm,US,Sevierville,00:00.0,35.6967,-83.6089,0.041214286
Coweeta,o3,ppm,US,MACON,00:00.0,35.0608,-83.4306,0.013846154
Cranberry,o3,ppm,US,AVERY,00:00.0,36.1058,-82.0454,0.04425
Craters of the Moon,o3,ppm,US,BUTTE,00:00.0,43.460602,-113.562202,0.0353
Crestline - Lake Gre,o3,ppm,US,Riverside-San Bernardino-Ontario,00:00.0,34.243132,-117.272275,0.018533333
Crockett,o3,ppm,US,MORGAN,00:00.0,37.9214,-83.0662,0.019
