location,parameter,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
G.T.Craig,pm25,US,Cleveland-Elyria-Mentor,00:00.0,41.492191,-81.678552,6.55
GANDY,pm25,US,Tampa-St. Petersburg-Clearwater,00:00.0,27.8928,-82.5383,2.042857143
GARINGER,pm25,US,Charlotte-Gastonia-Concord,00:00.0,35.2411,-80.7831,6.428571429
GC_MAD,pm25,US,St. Louis,00:00.0,38.7045,-90.1397,22.61538462
GPORT YC,pm25,US,Gulfport-Biloxi,00:00.0,30.39,-89.0497,12.04285714
GRAND RAPIDS,pm25,US,Grand Rapids-Wyoming,00:00.0,42.984699,-85.671097,5.084615385
GREEN BAY E HIGH,pm25,US,Green Bay,00:00.0,44.5167,-87.9939,4.228571429
Gainesville,pm25,US,Gainesville,00:00.0,34.3003,-83.8139,11.02857143
Garden,pm25,US,Anchorage,00:00.0,61.205861,-149.8246,5.769230769
Garden City,pm25,US,ADA,00:00.0,43.647888,-116.269409,26.21428571
Garden Valley,pm25,US,BOISE,00:00.0,44.104498,-115.972386,9.285714286
Geronimo,pm25,US,Tucson,00:00.0,32.25,-110.9667,10.64285714
Gilory - 9th Street,pm25,US,San Jose-Sunnyvale-Santa Clara,00:00.0,36.999571,-121.574684,7.454545455
Glendale Community C,pm25,US,Phoenix-Mesa-Scottsdale,00:00.0,33.5694,-112.1915,12.15
Glendora - Laurel,pm25,US,Los Angeles-Long Beach-Santa Ana,00:00.0,34.1439,-117.8508,12.7
Glenpool,pm25,US,Tulsa,00:00.0,35.9525,-96.0033,9.6
Globeville,pm25,US,DENVER,00:00.0,39.785622,-104.988469,14.97692308
Goleta,pm25,US,Santa Barbara-Santa Maria,00:00.0,34.445301,-119.827797,4.642857143
Grand Portage,pm25,US,COOK,00:00.0,47.9721,-89.6908,3.333333333
Grangeville,pm25,US,IDAHO,00:00.0,45.931301,-116.115196,4.928571429
Grants Pass - Parksi,pm25,US,Grants Pass,00:00.0,42.434149,-123.348466,14.07142857
