location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Cape Romain,pm25,µg/m³,US,Charleston-North Charleston,2019-11-16 16:00:00.000000,32.941002,-79.656998,3.7875
Carlisle,pm25,µg/m³,US,Harrisburg-Carlisle,2019-11-16 16:00:00.000000,40.2464,-77.1867,7.15714285714286
Carrithers Middle Sc,pm25,µg/m³,US,JEFFERSON,2019-11-16 16:00:00.000000,38.1825,-85.5744,25.75
Casper Gaseous,pm25,µg/m³,US,Casper,2019-11-16 16:00:00.000000,42.82231,-106.36501,1.71428571428571
Catawba Indian Natio,pm25,µg/m³,US,N/A,2019-11-16 16:00:00.000000,34.91263,-80.874283,8.21428571428571
Cataño 40,pm25,µg/m³,US,CATANO,2019-11-16 16:00:00.000000,18.428388,-66.141657,6.15
Cave Junction Forest,pm25,µg/m³,US,JOSEPHINE,2019-11-16 16:00:00.000000,42.1617,-123.64835,15.5071428571429
Cedar Bluff,pm25,µg/m³,US,TREGO,2019-11-16 16:00:00.000000,38.7703,-99.7636,1.43333333333333
Chalmette Vista,pm25,µg/m³,US,New Orleans-Metairie-Kenner,2019-11-16 16:00:00.000000,29.9431,-89.9761,10.9933333333333
Charleroi,pm25,µg/m³,US,Pittsburgh,2019-11-16 16:00:00.000000,40.1469,-79.9033,16.5428571428571
Chatfield Park - 115,pm25,µg/m³,US,Denver-Aurora,2019-11-16 16:00:00.000000,39.5339,-105.07,5.98461538461538
Cheeka Peak,pm25,µg/m³,US,Port Angeles,2019-11-16 16:00:00.000000,48.2867,-124.6203,1.7
Chehalis-Market Blvd,pm25,µg/m³,US,LEWIS,2019-11-16 16:00:00.000000,46.664089,-122.967323,10.15
Chelan-Woodin Ave,pm25,µg/m³,US,CHELAN,2019-11-16 16:00:00.000000,47.83861,-120.02306,8.33571428571429
ChelmsfordNR,pm25,µg/m³,US,MIDDLESEX,2019-11-16 15:00:00.000000,42.612113,-71.307519,2.4
Chester,pm25,µg/m³,US,Philadelphia-Camden-Wilmington,2019-11-16 16:00:00.000000,39.8356,-75.3725,16.0714285714286
Chester BAM,pm25,µg/m³,US,PLUMAS,2019-11-16 16:00:00.000000,40.301899,-121.235001,14.0714285714286
Cheyenne NCore,pm25,µg/m³,US,Cheyenne,2019-11-16 16:00:00.000000,41.18222,-104.778336,3.5
Chico -  East,pm25,µg/m³,US,BUTTE,2019-11-16 16:00:00.000000,39.76168,-121.84047,12.1428571428571
Children's Park Site,pm25,µg/m³,US,Tucson,2019-11-16 16:00:00.000000,32.2953,-110.9822,6.78571428571429
Chiloquin,pm25,µg/m³,US,KLAMATH,2019-11-16 16:00:00.000000,42.541077,-121.921636,7.02142857142857
Chippewa Lake,pm25,µg/m³,US,Cleveland-Elyria-Mentor,2019-11-16 16:00:00.000000,41.0604,-81.9239,12.5714285714286
Cicero2,pm25,µg/m³,US,COOK,2019-11-16 16:00:00.000000,41.864329,-87.748826,23.4538461538462
Cincinnati Near Road,pm25,µg/m³,US,Cincinnati-Middletown,2019-11-16 16:00:00.000000,39.146025,-84.538375,26.5571428571429
City Park,pm25,µg/m³,US,New Orleans-Metairie-Kenner,2019-11-16 14:00:00.000000,29.9933,-90.1014,4.96363636363636
Clarkston-13th St,pm25,µg/m³,US,ASOTIN,2019-11-16 16:00:00.000000,46.425598,-117.059799,19.1071428571429
Clarksville,pm25,µg/m³,US,Clarksville,2019-11-16 16:00:00.000000,36.611411,-87.384666,19.0833333333333
Clemmons Middle,pm25,µg/m³,US,Winston-Salem,2019-11-16 16:00:00.000000,36.0261,-80.3419,9.82142857142857
Clinton C403,pm25,µg/m³,US,Houston-Sugar Land-Baytown,2019-11-16 16:00:00.000000,29.7339,-95.2575,23.9
"Clinton, Chancy Park",pm25,µg/m³,US,Clinton,2019-11-16 16:00:00.000000,41.823101,-90.211899,28.5
Clovis - N. Villa Av,pm25,µg/m³,US,Fresno,2019-11-16 15:00:00.000000,36.819199,-119.7164,22.4769230769231
Colbert-Greenbluff,pm25,µg/m³,US,Spokane,2019-11-16 16:00:00.000000,47.808226,-117.34327,8.3
Colfax,pm25,µg/m³,US,Sacramento--Arden-Arcade--Roseville,2019-11-16 16:00:00.000000,39.1003,-120.9528,6.25
Colorado College,pm25,µg/m³,US,Colorado Springs,2019-11-16 16:00:00.000000,38.848,-104.8286,5.56923076923077
Columbia,pm25,µg/m³,US,Nashville-Davidson--Murfreesboro,2019-11-16 16:00:00.000000,35.65188,-87.0096,12.3190476190476
Columbia Falls,pm25,µg/m³,US,FLATHEAD,2019-11-16 16:00:00.000000,48.363694,-114.189272,9.63076923076923
Columbus Airport,pm25,µg/m³,US,Columbus,2019-11-16 16:00:00.000000,32.5214,-84.9436,9.03076923076923
Columbus NR - Smoky,pm25,µg/m³,US,Columbus,2019-11-16 16:00:00.000000,40.11109,-83.065376,20.55
Colusa - Sunrise Blv,pm25,µg/m³,US,COLUSA,2019-11-16 16:00:00.000000,39.18919,-121.99887,10.5
